what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1445822995344
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1445822995344
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1445822995345
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1445822995345
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1445822995345
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1445822995345
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1445822995345
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1445822995346
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1445822995346
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1445822995346
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1445822995346
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1445822995346
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1445822995346
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1445822995346
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1445822995346
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1445822995346
os,sysinfo,,,"win32",1445822995349
arch,sysinfo,,,"x86_64",1445822995349
ws,sysinfo,,,"win32",1445822995349
locale,sysinfo,,,"es_MX",1445822995349
processors,sysinfo,,,"4",1445822995349
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1445822995349
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1445822995349
java.specification.name,sysinfo,,,"Java Platform API Specification",1445822995349
java.specification.vendor,sysinfo,,,"Oracle Corporation",1445822995349
java.specification.version,sysinfo,,,"1.8",1445822995349
java.vendor,sysinfo,,,"Oracle Corporation",1445822995349
java.version,sysinfo,,,"1.8.0_65",1445822995349
java.vm.info,sysinfo,,,"mixed mode",1445822995349
