what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1446859841778
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1446859841793
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1446859841803
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1446859841803
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1446859841808
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1446859841808
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1446859841818
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1446859841818
os,sysinfo,,,"win32",1446859841823
arch,sysinfo,,,"x86_64",1446859841823
ws,sysinfo,,,"win32",1446859841823
locale,sysinfo,,,"es_MX",1446859841823
processors,sysinfo,,,"4",1446859841828
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1446859841828
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1446859841828
java.specification.name,sysinfo,,,"Java Platform API Specification",1446859841828
java.specification.vendor,sysinfo,,,"Oracle Corporation",1446859841828
java.specification.version,sysinfo,,,"1.8",1446859841828
java.vendor,sysinfo,,,"Oracle Corporation",1446859841828
java.version,sysinfo,,,"1.8.0_65",1446859841828
java.vm.info,sysinfo,,,"mixed mode",1446859841828
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1446859841828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1446859841828
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1446859841828
java.vm.specification.version,sysinfo,,,"1.8",1446859841828
java.vm.vendor,sysinfo,,,"Oracle Corporation",1446859841828
java.vm.version,sysinfo,,,"25.65-b01",1446859841828
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1446859842437
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1446859842605
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1446859842646
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1446859842857
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1446859843034
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1446859843049
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1446859843336
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1446859843384
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1446859843661
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1446859843936
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1446859843946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446859844026
